Part Number;FLASH Size (kB) (Prog);Internal RAM Size (kB)
STM32F030C6;32;4
STM32F030C8;64;8
STM32F030CC;256;32
STM32F030F4;16;4
STM32F030K6;32;4
STM32F030R8;64;8
STM32F030RC;256;32
STM32F031C4;16;4
STM32F031C6;32;4
STM32F031E6;32;4
STM32F031F4;16;4
STM32F031F6;32;4
STM32F031G4;16;4
STM32F031G6;32;4
STM32F031K4;16;4
STM32F031K6;32;4
STM32F038C6;32;4
STM32F038E6;32;4
STM32F038F6;32;4
STM32F038G6;32;4
STM32F038K6;32;4
STM32F042C4;16;6
STM32F042C6;32;6
STM32F042F4;16;6
STM32F072VB;128;16
STM32F042F6;32;6
STM32F042G4;16;6
STM32F042G6;32;6
STM32F042K4;16;6
STM32F042K6;32;6
STM32F042T6;32;6
STM32F048C6;32;6
STM32F048G6;32;6
STM32F048T6;32;6
STM32F051C4;16;8
STM32F051C6;32;8
STM32F051C8;64;8
STM32F051K4;16;8
STM32F051K6;32;8
STM32F051K8;64;8
STM32F051R4;16;8
STM32F051R6;32;8
STM32F051R8;64;8
STM32F051T8;64;8
STM32F058C8;64;8
STM32F058R8;64;8
STM32F058T8;64;8
STM32F070C6;32;6
STM32F070CB;128;16
STM32F070F6;32;6
STM32F070RB;128;16
STM32F071C8;64;16
STM32F071CB;128;16
STM32F071RB;128;16
STM32F071V8;64;16
STM32F071VB;128;16
STM32F072C8;64;16
STM32F072CB;128;16
STM32F072R8;64;16
STM32F072RB;128;16
STM32F072V8;64;16
STM32F078CB;128;16
STM32F078RB;128;16
STM32F078VB;128;16
STM32F091CB;128;32
STM32F091CC;256;32
STM32F091RB;128;32
STM32F091RC;256;32
STM32F091VB;128;32
STM32F091VC;256;32
STM32F098CC;256;32
STM32F098RC;256;32
STM32F098VC;256;32
