Part Number,FLASH Size (kB) (Prog),Internal RAM Size (kB),CCRAM
STM32F301C6,32,16,
STM32F301C8,64,16,
STM32F301K6,32,16,
STM32F301K8,64,16,
STM32F301R6,32,16,
STM32F301R8,64,16,
STM32F302C6,32,16,
STM32F302C8,64,16,
STM32F302CB,128,32,
STM32F302CC,256,40,
STM32F302K6,32,16,
STM32F302K8,64,16,
STM32F303RD,384,80,
STM32F302R6,32,16,
STM32F302R8,64,16,
STM32F302RB,128,32,
STM32F302RC,256,40,
STM32F302RD,384,64,
STM32F302RE,512,64,
STM32F302VB,128,32,
STM32F302VC,256,40,
STM32F302VD,384,64,
STM32F302VE,512,64,
STM32F302ZD,384,64,
STM32F302ZE,512,64,
STM32F303C6,32,12,4
STM32F303C8,64,12,4
STM32F303CB,128,32,8
STM32F303CC,256,40,8
STM32F303K6,32,12,4
STM32F303K8,64,12,4
STM32F303R6,32,12,4
STM32F303R8,64,12,4
STM32F303RB,128,32,8
STM32F303RD,384,64,16
STM32F303RC,256,40,8
STM32F303RE,512,64,16
STM32F303VB,128,32,8
STM32F303VC,256,40,8
STM32F303VD,384,64,16
STM32F303VE,512,64,16
STM32F303ZD,384,64,16
STM32F303ZE,512,64,16
STM32F318C8,64,16,
STM32F318K8,64,16,
STM32F328C8,64,12,4
STM32F334C4,16,12,4
STM32F334C6,32,12,4
STM32F334C8,64,12,4
STM32F334K4,16,12,4
STM32F334K6,32,12,4
STM32F334K8,64,12,4
STM32F334R6,32,12,4
STM32F334R8,64,12,4
STM32F358CC,256,40,8
STM32F358RC,256,40,8
STM32F358VC,256,40,8
STM32F373C8,64,16,
STM32F373CB,128,24,
STM32F373CC,256,32,
STM32F373R8,64,16,
STM32F373RB,128,24,
STM32F373RC,256,32,
STM32F373V8,64,16,
STM32F373VB,128,24,
STM32F373VC,256,32,
STM32F378CC,256,32,
STM32F378RC,256,32,
STM32F378VC,256,32,
STM32F398VE,512,64,16
