Controller;FLASH;EEPROM;RAM
STM32L011D3;8;512;2
STM32L011D4;16;512;2
STM32L011E3;8;512;2
STM32L011E4;16;512;2
STM32L011F3;8;512;2
STM32L011F4;16;512;2
STM32L011G3;8;512;2
STM32L011G4;16;512;2
STM32L011K3;8;512;2
STM32L011K4;16;512;2
STM32L021D4;16;512;2
STM32L021F4;16;512;2
STM32L021G4;16;512;2
STM32L021K4;16;512;2
STM32L031C4;16;1024;8
STM32L031C6;32;1024;8
STM32L031E4;16;1024;8
STM32L031E6;32;1024;8
STM32L031F4;16;1024;8
STM32L031F6;32;1024;8
STM32L031G4;16;1024;8
STM32L031G6;32;1024;8
STM32L031K4;16;1024;8
STM32L031K6;32;1024;8
STM32L041C6;32;1024;8
STM32L041E6;32;1024;8
STM32L041F6;32;1024;8
STM32L041G6;32;1024;8
STM32L041K6;32;1024;8
STM32L051C6;32;2048;8
STM32L051C8;64;2048;8
STM32L051K6;32;2048;8
STM32L051K8;64;2048;8
STM32L051R6;32;2048;8
STM32L051R8;64;2048;8
STM32L051T6;32;2048;8
STM32L051T8;64;2048;8
STM32L052C6;32;2048;8
STM32L052C8;64;2048;8
STM32L052K6;32;2048;8
STM32L052K8;64;2048;8
STM32L052R6;32;2048;8
STM32L052R8;64;2048;8
STM32L052T6;32;2048;8
STM32L052T8;64;2048;8
STM32L053C6;32;2048;8
STM32L053C8;64;2048;8
STM32L053R6;32;2048;8
STM32L053R8;64;2048;8
STM32L062K8;64;2048;8
STM32L063C8;64;2048;8
STM32L063R8;64;2048;8
STM32L071C8;64;3072;20
STM32L071CB;128;6144;20
STM32L071CZ;192;6144;20
STM32L071K8;64;3072;20
STM32L071KB;128;6144;20
STM32L071KZ;192;6144;20
STM32L071RB;128;6144;20
STM32L071RZ;192;6144;20
STM32L071V8;64;3072;20
STM32L071VB;128;6144;20
STM32L071VZ;192;6144;20
STM32L072CB;128;6144;20
STM32L072CZ;192;6144;20
STM32L072KB;128;6144;20
STM32L072KZ;192;6144;20
STM32L072RB;128;6144;20
STM32L072RZ;192;6144;20
STM32L072V8;64;3072;20
STM32L072VB;128;6144;20
STM32L072VZ;192;6144;20
STM32L073CB;128;6144;20
STM32L073CZ;192;6144;20
STM32L073RB;128;6144;20
STM32L073RZ;192;6144;20
STM32L073V8;64;3072;20
STM32L073VB;128;6144;20
STM32L073VZ;192;6144;20
STM32L081CB;128;6144;20
STM32L081CZ;192;6144;20
STM32L081KZ;192;6144;20
STM32L082CZ;192;6144;20
STM32L082KB;128;6144;20
STM32L082KZ;192;6144;20
STM32L083CB;128;6144;20
STM32L083CZ;192;6144;20
STM32L083RB;128;6144;20
STM32L083RZ;192;6144;20
STM32L083V8;64;3072;20
STM32L083VB;128;6144;20
STM32L083VZ;192;6144;20
